,/lpc/nct6687d/0/control/0,/lpc/nct6687d/0/control/1,/lpc/nct6687d/0/control/2,/lpc/nct6687d/0/control/3,/lpc/nct6687d/0/control/4,/lpc/nct6687d/0/control/5,/lpc/nct6687d/0/control/6,/lpc/nct6687d/0/control/7,/lpc/nct6687d/0/voltage/0,/lpc/nct6687d/0/voltage/1,/lpc/nct6687d/0/voltage/2,/lpc/nct6687d/0/voltage/3,/lpc/nct6687d/0/voltage/4,/lpc/nct6687d/0/voltage/5,/lpc/nct6687d/0/voltage/6,/lpc/nct6687d/0/voltage/7,/lpc/nct6687d/0/voltage/8,/lpc/nct6687d/0/voltage/9,/lpc/nct6687d/0/voltage/10,/lpc/nct6687d/0/voltage/11,/lpc/nct6687d/0/voltage/12,/lpc/nct6687d/0/voltage/13,/lpc/nct6687d/0/temperature/0,/lpc/nct6687d/0/temperature/1,/lpc/nct6687d/0/temperature/2,/lpc/nct6687d/0/temperature/3,/lpc/nct6687d/0/temperature/4,/lpc/nct6687d/0/temperature/5,/lpc/nct6687d/0/temperature/6,/lpc/nct6687d/0/fan/0,/lpc/nct6687d/0/fan/1,/lpc/nct6687d/0/fan/2,/lpc/nct6687d/0/fan/3,/lpc/nct6687d/0/fan/4,/lpc/nct6687d/0/fan/5,/lpc/nct6687d/0/fan/6,/lpc/nct6687d/0/fan/7,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/10,/amdcpu/0/load/11,/amdcpu/0/load/12,/amdcpu/0/load/13,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/2,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/3,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/4,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/5,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/6,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/voltage/0,/amdcpu/0/voltage/1,/amdcpu/0/clock/0,/ram/data/0,/ram/data/1,/ram/load/0,/ram/data/2,/ram/data/3,/ram/load/1,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/load/2,/gpu-amd/0/load/6,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/7,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/load/12,/gpu-amd/0/load/5,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/16,/gpu-amd/0/load/15,/gpu-amd/0/load/13,/gpu-amd/0/load/14,/gpu-amd/0/power/3,/gpu-amd/0/temperature/0,/gpu-amd/0/temperature/7,/gpu-amd/0/clock/0,/gpu-amd/0/clock/2,/gpu-amd/0/fan/0,/gpu-amd/0/control/0,/gpu-amd/0/voltage/0,/gpu-amd/0/load/0,/gpu-amd/0/load/1,/nvme/1/temperature/0,/nvme/1/level/1,/nvme/1/level/2,/nvme/1/level/3,/nvme/1/data/4,/nvme/1/data/5,/nvme/1/temperature/6,/nvme/1/temperature/7,/nvme/1/load/0,/nvme/1/load/31,/nvme/1/load/32,/nvme/1/load/33,/nvme/1/throughput/34,/nvme/1/throughput/35,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/0/load/31,/hdd/0/load/32,/hdd/0/load/33,/hdd/0/throughput/34,/hdd/0/throughput/35,/nic/{2CAEE579-195B-47F4-ACFE-A6517C4057AB}/data/2,/nic/{2CAEE579-195B-47F4-ACFE-A6517C4057AB}/data/3,/nic/{2CAEE579-195B-47F4-ACFE-A6517C4057AB}/throughput/7,/nic/{2CAEE579-195B-47F4-ACFE-A6517C4057AB}/throughput/8,/nic/{2CAEE579-195B-47F4-ACFE-A6517C4057AB}/load/1,/nic/{6E9CE074-F732-4D3B-A40D-9C62B0D46329}/data/2,/nic/{6E9CE074-F732-4D3B-A40D-9C62B0D46329}/data/3,/nic/{6E9CE074-F732-4D3B-A40D-9C62B0D46329}/throughput/7,/nic/{6E9CE074-F732-4D3B-A40D-9C62B0D46329}/throughput/8,/nic/{6E9CE074-F732-4D3B-A40D-9C62B0D46329}/load/1,/nic/{E52184C0-08D4-4C9D-BE72-4E8129A662DE}/data/2,/nic/{E52184C0-08D4-4C9D-BE72-4E8129A662DE}/data/3,/nic/{E52184C0-08D4-4C9D-BE72-4E8129A662DE}/throughput/7,/nic/{E52184C0-08D4-4C9D-BE72-4E8129A662DE}/throughput/8,/nic/{E52184C0-08D4-4C9D-BE72-4E8129A662DE}/load/1,/nic/{0867743B-CBA1-47D2-9005-4C28965CC0A0}/data/2,/nic/{0867743B-CBA1-47D2-9005-4C28965CC0A0}/data/3,/nic/{0867743B-CBA1-47D2-9005-4C28965CC0A0}/throughput/7,/nic/{0867743B-CBA1-47D2-9005-4C28965CC0A0}/throughput/8,/nic/{0867743B-CBA1-47D2-9005-4C28965CC0A0}/load/1,/nic/{386E8ACC-E354-4F90-A39F-F0AE86CADFDB}/data/2,/nic/{386E8ACC-E354-4F90-A39F-F0AE86CADFDB}/data/3,/nic/{386E8ACC-E354-4F90-A39F-F0AE86CADFDB}/throughput/7,/nic/{386E8ACC-E354-4F90-A39F-F0AE86CADFDB}/throughput/8,/nic/{386E8ACC-E354-4F90-A39F-F0AE86CADFDB}/load/1
Time,"CPU Fan","Pump Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","+12V","+5V","Vcore","Voltage #1","DIMM","CPU I/O","CPU SA","Voltage #2","AVCC3","VTT","VRef","VSB","AVSB","VBat","CPU","System","VRM MOS","PCH","CPU Socket","PCIe x1","M2_1","CPU Fan","Pump Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Core #9","CPU Core #10","CPU Core #11","CPU Core #12","CPU Total","CPU Core Max","Package","Core #1","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6","Core #6 (SMU)","Core #6 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Core (SVI2 TFN)","SoC (SVI2 TFN)","Bus Speed","Memory Used","Memory Available","Memory","Virtual Memory Used","Virtual Memory Available","Virtual Memory","Fullscreen FPS","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Copy","D3D Timer 0","D3D Security 1","D3D True Audio 0","D3D Compute 3","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG","D3D Video Decode 1","D3D True Audio 1","D3D Video Codec 0","GPU Package","GPU Core","GPU Hot Spot","GPU Core","GPU Memory","GPU Fan","GPU Fan","GPU Core","GPU Core","GPU Memory","Temperature","Available Spare","Available Spare Threshold","Percentage Used","Data Read","Data Written","Temperature 1","Temperature 2","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Temperature","Used Space","Read Activity","Write Activity","Total Activity","Read Rate","Write Rate","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization","Data Uploaded","Data Downloaded","Upload Speed","Download Speed","Network Utilization"
08/07/2024 08:54:25,48,100,0,0,0,100,100,50,12.216,5.04,1,0.67,1.96,0.802000046,0.718000054,1.53200006,3.33200026,1.83200014,0,3.348,3.348,3.252,43,43,40,42,39,37,0,1090,0,0,0,1113,0,0,0,11.25173,8.328706,4.671961,2.386719,12.79881,5.902171,0.06815791,0,3.0508697,1.21994019,0,0,3.94268632,12.79881,30.5937748,3560.026,35.6,1.35843956,1.13125,4450.032,44.5,0.709652662,1.1375,3560.026,35.6,1.1923908,1.1375,3560.026,35.6,0.233670533,1.1375,3560.026,35.6,0.456920534,1.1375,3560.026,35.6,0.120326377,1.1375,42.5000076,42.0000038,1.13125,0.9875,100.000725,8.646709,23.28107,27.0820847,14.206913,22.9708672,38.21345,0,2299.86719,255.980469,1.26006949,0,0,0,0.0731645,0,0,0,0,0,0,0,0,0,0,5,41,45,0,36,0,0,0,0,0,43,100,1,0,37705,8057,43,42,77.29632,0,0.592077553,1.351265,0,1081263.5,40,4.474388,0,0,0.0327307247,0,0,0,0,0,0,0,0.09975858,0.447067529,14958.166,18858.7539,0.0270535368,0,0,0,0,0,0,0,0,0,0,0.0001366064,0.000705162063,0,0,0
08/07/2024 08:54:26,47,100,0,0,0,100,100,50,12.216,5.04,1,0.67,1.96400011,0.802000046,0.718000054,1.53000009,3.33200026,1.83,0,3.348,3.344,3.252,42,43,40,42,39,37,0,1081,0,0,0,1113,0,0,0,11.5905581,6.66368,4.82295132,3.963691,6.13150024,10.1474524,2.3363173,2.682978,1.807481,3.14831734,3.853482,2.06496716,4.934454,11.5905581,30.4999466,4450.03271,44.5,1.23282516,1.14375,4450.03271,44.5,0.7687428,1.1125,3560.02637,35.6,1.183563,1.1125,3560.02637,35.6,0.234605744,1.1125,3560.02637,35.6,0.469629765,1.1125,3560.02637,35.6,0.19592306,1.1125,42.0000076,41.7500038,1.13125,0.9875,100.00074,8.647289,23.28049,27.0839081,14.2071533,22.9706268,38.2140961,0,2299.86719,255.980469,0.883647263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,45,0,48,0,0,0,0,0,43,100,1,0,37705,8057,43,42,77.29632,0.0474898219,0.7993058,1.631293,37290.71,948841.4,40,4.474388,0,0,0.007667153,0,0,0,0,0,0,0,0.0997716,0.4470968,14138.8662,31775.78,0.0367317162,0,0,0,0,0,0,0,0,0,0,0.0001366064,0.000705162063,0,0,0
08/07/2024 08:54:27,47,100,0,0,0,100,100,50,12.216,5.04,1,0.67,2.02,0.804,0.718000054,1.53000009,3.33200026,1.83,0,3.348,3.344,3.252,41,43,40,42,38.5,37,0,1076,0,0,0,1113,0,0,0,11.520153,3.84347439,2.7982533,1.09850168,4.426545,4.48786,0.935077667,0,0.320255756,0,0,0,2.246189,11.520153,29.5829086,4450.03174,44.5,1.16587412,1.10625,3560.02563,35.6,0.6418984,1.10625,4450.03174,44.5,0.9947262,1.13125,3560.02563,35.6,0.189497337,1.13125,3560.02563,35.6,0.316997528,1.13125,3560.02563,35.6,0.0888456,1.13125,41.6250076,40,1.13125,0.9875,100.000717,8.654133,23.2736473,27.10534,14.1768646,23.0009155,38.13263,0,2300.875,255.980469,1.61686468,0,0,0,0.184337,0,0,0,0,0,0,0,0,0,0,6,42,45,4,32,0,0,0.862000048,0,0,43,100,1,0,37705,8057,43,42,77.29632,0,0,0,0,0,40,4.474388,0,0,0,0,0,0,0,0,0,0,0.09977758,0.447101772,6260.10645,5228.446,0.009190842,0,0,0,0,0,0,0,0,0,0,0.0001366064,0.000705162063,0,0,0
08/07/2024 08:54:28,47,100,0,0,0,100,100,50,12.216,5.04,1,0.67,2.02,0.804,0.718000054,1.53000009,3.33200026,1.83,0,3.348,3.344,3.252,41,43,40,42,38.5,37,0,1076,0,0,0,1113,0,0,0,7.159996,4.76329327,3.22790146,0.971579552,7.772672,3.726983,0.532943,0.6386101,0.7804036,1.26754642,0.977391,0.370442867,2.68247724,7.772672,28.7795219,4450.032,44.5,0.86258775,1.14375,4450.032,44.5,0.45212245,1.14375,4450.032,44.5,0.674731553,1.14375,3560.026,35.6,0.0881321952,1.14375,3560.026,35.6,0.216947973,1.14375,3560.026,35.6,0.0828756839,1.14375,41.2500076,42.7500038,1.1375,0.9875,100.000725,8.651688,23.2760925,27.09768,14.177269,23.0005112,38.1337166,0,2300.875,255.980469,0.78662765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,44,0,56,0,0,0,0,0,43,100,1,0,37705,8057,43,42,77.29632,0.0148245757,0.167372927,0.134767011,16701.627,354909.563,40,4.474388,0,0,0,0,0,0,0,0,0,0,0.0997797847,0.447102457,2410.85547,725.8051,0.00250932854,0,0,0,0,0,0,0,0,0,0,0.0001366064,0.000705162063,0,0,0
08/07/2024 08:54:29,46,100,0,0,0,100,100,50,12.216,5.03,1,0.67,1.94400012,0.804,0.72,1.53200006,3.33200026,1.83200014,0,3.344,3.344,3.252,41,43,40,42,38.5,37,0,1061,0,0,0,1113,0,0,0,5.71665764,5.91462851,2.41237879,1.492387,6.839877,4.72151041,1.81446075,0.8329272,0,0,1.03350878,0,2.38842964,6.839877,28.7611256,4450.03271,44.5,0.809787,1.125,3560.02637,35.6,0.4147592,1.125,3560.02637,35.6,0.8448582,1.125,3560.02637,35.6,0.2101205,1.125,3560.02637,35.6,0.187563717,1.125,3560.02637,35.6,0.139148787,1.125,41.0000076,41.0000038,1.125,0.9875,100.00074,8.644001,23.28378,27.0736,14.17189,23.00589,38.11925,0,2301.0625,255.980469,0.7889359,0,0,0,0.195573,0,0,0,0,0,0,0,0,0,0,5,42,45,0,30,0,0,0,0,0,43,100,1,0,37705,8057,43,42,77.29632,0,0.0415640175,0.150693476,0,140247.75,40,4.474388,0,0,0.0424297266,0,0,0,0,0,0,0,0.0997797847,0.4471031,0,714.002563,0.0005712021,0,0,0,0,0,0,0,0,0,0,0.0001366064,0.000705162063,0,0,0
08/07/2024 08:54:30,46,100,0,0,0,100,100,50,12.216,5.03,1,0.67,1.94400012,0.804,0.72,1.53200006,3.33200026,1.83200014,0,3.344,3.344,3.252,41,43,40,42,38.5,37,0,1061,0,0,0,1113,0,0,0,4.8518,4.055798,5.52399158,1.45400167,7.805687,3.52007747,1.7788887,1.287061,4.45382,3.17794681,3.17878127,2.38954425,3.62311,7.805687,28.87748,3560.02515,35.6,0.7085838,1.13125,3560.02515,35.6,0.633579552,1.13125,4450.03174,44.5,0.7824642,1.13125,3560.02515,35.6,0.166065425,1.13125,3560.02515,35.6,0.23779054,1.13125,3560.02515,35.6,0.07794468,1.13125,40.7500076,42.0000038,1.1375,0.9875,100.00071,8.648609,23.279171,27.0880432,14.1718254,23.0059547,38.1190758,0,2301.0625,255.980469,0.901027739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,44,1,48,0,0,0,0,0,43,100,1,0,37705,8057,43,42,77.29632,0,0.0506216176,0.145522073,0,82358.74,40,4.474388,0,0,0.0160127562,0,0,0,0,0,0,0,0.09977986,0.447103351,85.45582,278.485443,0.000291153,0,0,0,0,0,0,0,0,0,0,0.0001366064,0.000705162063,0,0,0
08/07/2024 08:54:31,45,100,0,0,0,100,100,50,12.216,5.04,1,0.67,1.95200014,0.804,0.718000054,1.53200006,3.33200026,1.83,0,3.348,3.348,3.252,40,43,39.5,42,38.5,37,0,1048,0,0,0,1113,0,0,0,9.867472,4.757619,1.48704052,1.6657114,4.78718853,5.08500957,0,0,2.190709,0.742602348,0.524330139,0,2.36709118,9.867472,29.1718559,4450.03271,44.5,1.00019264,1.125,3560.02612,35.6,0.4022213,1.125,3560.02612,35.6,0.7880701,1.125,3560.02612,35.6,0.17706497,1.125,4450.03271,44.5,0.4010857,1.125,3560.02612,35.6,0.1540757,1.125,40.5000076,41.7500038,1.13125,0.9875,100.000732,8.645443,23.2823372,27.078125,14.1715355,23.0062447,38.1182938,0,2301.0625,255.980469,0.9064361,0,0,0,0.104884647,0,0,0,0,0,0,0,0,0,0,5,42,45,0,34,0,0,0,0,0,43,100,1,0,37705,8057,43,42,77.29632,0,0,0,0,0,40,4.474388,0,0,0,0,0,0,0,0,0,0,0.09977986,0.44710356,0,214.178391,0.000171342719,0,0,0,0,0,0,0,0,0,0,0.0001366064,0.000705162063,0,0,0
08/07/2024 08:54:32,45,100,0,0,0,100,100,50,12.216,5.04,1,0.67,1.95200014,0.804,0.718000054,1.53200006,3.33200026,1.83,0,3.348,3.348,3.252,40,43,39.5,42,38.5,37,0,1048,0,0,0,1113,0,0,0,14.95173,3.97185087,2.757752,1.5501678,4.194647,4.92157936,2.64251232,2.166015,1.81754827,0,1.08068585,0.39550066,3.3360064,14.95173,29.3954315,4450.032,44.5,1.21260166,1.125,3560.026,35.6,0.5376398,1.125,3560.026,35.6,0.7586286,1.125,3560.026,35.6,0.119472153,1.125,3560.026,35.6,0.319183856,1.125,3560.026,35.6,0.05975987,1.125,40.2500076,40.7500038,1.125,0.9875,100.000725,8.644566,23.2832146,27.07537,14.1687393,23.00904,38.110775,0,2300.875,255.980469,1.28863811,0,0,0,0.255083,0,0,0,0,0,0,0,0,0,0,5,42,44,0,36,0,0,0,0,0,43,100,1,0,37705,8057,43,42,77.29632,0.0232133158,0.10758806,0.224255249,32806.37,151729.469,40,4.474388,0,0,0.01653661,0,0,0,0,0,0,0,0.09977991,0.447103828,55.0647774,283.3333,0.000270718476,0,0,0,0,0,0,0,0,0,0,0.0001366064,0.000705162063,0,0,0
08/07/2024 08:54:33,45,100,0,0,0,100,100,50,12.216,5.04,1,0.67,2.02,0.804,0.72,1.53200006,3.33200026,1.83200014,0,3.348,3.348,3.252,40,43,39.5,42,38.5,37,0,1044,0,0,0,1113,0,0,0,13.6005878,3.29977274,1.79216862,1.48772,3.663528,4.07775,0,0.05838275,2.134204,1.32163167,3.81116271,0.613051653,2.93710232,13.6005878,29.8713112,4450.03174,44.5,1.26172912,1.1375,3560.02563,35.6,0.653699,1.1375,4450.03174,44.5,0.869724035,1.13125,3560.02563,35.6,0.18920663,1.13125,3560.02563,35.6,0.400324553,1.13125,3560.02563,35.6,0.157346532,1.13125,40.1250076,41.7500038,1.13125,0.9875,100.000717,8.641365,23.2864151,27.0653458,14.1677322,23.0100479,38.1080627,0,2300.11719,255.980469,0.908595,0,0,0,0.3465042,0,0,0,0,0,0,0,0,0,0,5,42,44,0,26,0,0,0,0,0,43,100,1,0,37705,8057,43,42,77.29632,0,0.0541004837,0.0370623432,0,103861.883,40,4.474388,0,0,0,0,0,0,0,0,0,0,0.09978011,0.447103977,212.608215,159.943787,0.000298041617,0,0,0,0,0,0,0,0,0,0,0.0001366064,0.000705162063,0,0,0
